Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,MSS,10/100/1000 Ethernet,RCOSC_50MHZ,XTLOSC
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKbU/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKbn/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKbq/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeA/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeI/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeJ/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeQ0/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeR/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeS/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeU/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeV/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKen/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKeq/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoA/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoI/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoJ/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoQ0/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoR/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoS/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
